"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"187","Alaska Airlines Inc.",2015,6,2334548,1963030,720896,2349116,2015-06-01,14.4900002652888,14.6633292826781,14.6695500708298,13.4882515489192
"188","Alaska Airlines Inc.",2015,7,2466095,2113017,657108,2468680,2015-07-01,14.5636278152557,14.7181468913891,14.7191945578739,13.3956051893376
"189","Alaska Airlines Inc.",2015,8,2523522,2120426,765099,2474374,2015-08-01,14.5671280414612,14.7411664990463,14.7214983968425,13.5477618232199
"190","Alaska Airlines Inc.",2015,9,2244797,1775284,806402,2223068,2015-09-01,14.389471531383,14.624126097382,14.6143992316009,13.6003388965304
"191","Alaska Airlines Inc.",2015,10,2274583,1799636,787778,2295757,2015-10-01,14.4030955358623,14.6373077365039,14.6465736301697,13.5769728726518
"192","Alaska Airlines Inc.",2015,11,2200759,1746143,867066,2296313,2015-11-01,14.3729204862077,14.6043133132183,14.6468157866527,13.6728715307469
"193","Alaska Airlines Inc.",2015,12,2284021,1848136,882979,2393482,2015-12-01,14.4296886626351,14.6414484819358,14.68826018522,13.691057829273
"194","Alaska Central Express",2015,1,560,228,38691,62760,2015-01-01,5.43372200355424,6.3297209055227,11.0470891404358,10.5633881393024
"195","Alaska Central Express",2015,2,400,214,35143,63272,2015-02-01,5.37063802812766,5.99396142730657,11.0552139768537,10.4672091856556
"196","Alaska Central Express",2015,3,464,259,36455,61809,2015-03-01,5.56068163101553,6.14203740558736,11.0318204426533,10.5038613329437
"197","Alaska Central Express",2015,4,688,276,32750,61691,2015-04-01,5.62401750618734,6.53524127101366,11.0299095418435,10.3966887749484
"198","Alaska Central Express",2015,5,256,110,35456,69209,2015-05-01,4.70953020131233,5.54907608489522,11.1449006398359,10.4760759736804
"199","Alaska Central Express",2015,6,1104,555,37059,64083,2015-06-01,6.32076829425058,7.00760061395185,11.0679500017666,10.5202934998394
"200","Alaska Central Express",2015,7,1904,971,45521,80164,2015-07-01,6.87935580446044,7.5522372875608,11.2918422896229,10.7259510045661
"201","Alaska Central Express",2015,8,1488,782,37046,58211,2015-08-01,6.6631326959908,7.30586003268401,10.9718467980332,10.5199426557859
"202","Alaska Central Express",2015,9,944,438,39738,64968,2015-09-01,6.08449941307517,6.85118492749374,11.0816655120369,10.590088352226
"203","Alaska Central Express",2015,10,224,107,34384,65704,2015-10-01,4.68213122712422,5.41610040220442,11.0929303050777,10.4453757017539
"204","Alaska Central Express",2015,11,272,119,30024,55398,2015-11-01,4.78749174278205,5.60947179518496,10.9223168220309,10.3097856469482
"205","Alaska Central Express",2015,12,756,429,27703,62427,2015-12-01,6.06378520868761,6.62936325343745,11.0417691716624,10.2293320860823
"206","Albinati Aeronautics SA",2015,1,56,23,1815,0,2015-01-01,3.17805383034795,4.04305126783455,0,7.50439155916124
"207","Albinati Aeronautics SA",2015,3,14,1,228,0,2015-03-01,0.693147180559945,2.70805020110221,0,5.43372200355424
"208","Albinati Aeronautics SA",2015,5,12,4,2253,0,2015-05-01,1.6094379124341,2.56494935746154,0,7.72046169459972
"209","Albinati Aeronautics SA",2015,8,14,8,362,0,2015-08-01,2.19722457733622,2.70805020110221,0,5.89440283426485
"210","Albinati Aeronautics SA",2015,9,22,22,554,0,2015-09-01,3.13549421592915,3.13549421592915,0,6.31896811374643
